,,,,,oral_scc,oral_non,oral_lip_scc,oral_lip_non,oral_tongue_scc,oral_tongue_non,oral_salivary_scc,oral_salivary_non,oral_floor_scc,oral_floor_non,oral_gum_scc,oral_gum_non,oral_nasopharynx_scc,oral_nasopharynx_non,oral_tonsil_scc,oral_tonsil_non,oral_oropharynx_scc,oral_oropharynx_non,oral_hypopharynx_scc,oral_hypopharynx_non,oral_other_scc,oral_other_non
  GA: Twiggs County (13289),2005-2009,male,45-64,nhw,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
  GA: Twiggs County (13289),2005-2009,male,65+,nhw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
  GA: Twiggs County (13289),2005-2009,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Twiggs County (13289),2005-2009,female,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Twiggs County (13289),2005-2009,female,65+,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Twiggs County (13289),2010-2013,male,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Twiggs County (13289),2010-2013,male,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Twiggs County (13289),2010-2013,male,65+,nhw,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
  GA: Twiggs County (13289),2010-2013,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Twiggs County (13289),2010-2013,female,45-64,nhw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
  GA: Twiggs County (13289),2010-2013,female,65+,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Union County (13291),2000-2004,male,0-44,nhw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
  GA: Union County (13291),2000-2004,male,45-64,nhw,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Union County (13291),2000-2004,male,65+,nhw,8,1,2,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0
  GA: Union County (13291),2000-2004,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Union County (13291),2000-2004,female,45-64,nhw,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
  GA: Union County (13291),2000-2004,female,65+,nhw,3,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
  GA: Union County (13291),2005-2009,male,0-44,nhw,5,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
  GA: Union County (13291),2005-2009,male,45-64,nhw,5,2,0,0,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,1,0
  GA: Union County (13291),2005-2009,male,65+,nhw,4,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1
  GA: Union County (13291),2005-2009,female,0-44,nhw,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
  GA: Union County (13291),2005-2009,female,45-64,nhw,1,3,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
  GA: Union County (13291),2005-2009,female,65+,nhw,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
  GA: Union County (13291),2010-2013,male,0-44,nhw,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
  GA: Union County (13291),2010-2013,male,45-64,nhw,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
  GA: Union County (13291),2010-2013,male,65+,nhw,2,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
  GA: Union County (13291),2010-2013,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Union County (13291),2010-2013,female,45-64,nhw,2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
  GA: Union County (13291),2010-2013,female,65+,nhw,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Upson County (13293),2000-2004,male,0-44,nhw,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
  GA: Upson County (13293),2000-2004,male,45-64,nhw,7,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
  GA: Upson County (13293),2000-2004,male,65+,nhw,8,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0,1,0,1,0,0,0
  GA: Upson County (13293),2000-2004,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Upson County (13293),2000-2004,female,45-64,nhw,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
  GA: Upson County (13293),2000-2004,female,65+,nhw,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
  GA: Upson County (13293),2005-2009,male,0-44,nhw,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
  GA: Upson County (13293),2005-2009,male,45-64,nhw,9,0,0,0,1,0,0,0,1,0,1,0,0,0,3,0,1,0,2,0,0,0
  GA: Upson County (13293),2005-2009,male,65+,nhw,7,1,0,0,2,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
  GA: Upson County (13293),2005-2009,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Upson County (13293),2005-2009,female,45-64,nhw,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Upson County (13293),2005-2009,female,65+,nhw,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
  GA: Upson County (13293),2010-2013,male,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Upson County (13293),2010-2013,male,45-64,nhw,7,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0
  GA: Upson County (13293),2010-2013,male,65+,nhw,3,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
  GA: Upson County (13293),2010-2013,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Upson County (13293),2010-2013,female,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Upson County (13293),2010-2013,female,65+,nhw,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
  GA: Walker County (13295),2000-2004,male,0-44,nhw,5,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
  GA: Walker County (13295),2000-2004,male,45-64,nhw,7,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0
  GA: Walker County (13295),2000-2004,male,65+,nhw,9,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,1
  GA: Walker County (13295),2000-2004,female,0-44,nhw,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
  GA: Walker County (13295),2000-2004,female,45-64,nhw,1,3,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Walker County (13295),2000-2004,female,65+,nhw,4,4,0,0,0,2,0,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0
  GA: Walker County (13295),2005-2009,male,0-44,nhw,5,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
  GA: Walker County (13295),2005-2009,male,45-64,nhw,8,2,0,0,5,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0
  GA: Walker County (13295),2005-2009,male,65+,nhw,11,1,2,0,3,1,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0
  GA: Walker County (13295),2005-2009,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Walker County (13295),2005-2009,female,45-64,nhw,4,1,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
  GA: Walker County (13295),2005-2009,female,65+,nhw,7,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Walker County (13295),2010-2013,male,0-44,nhw,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
  GA: Walker County (13295),2010-2013,male,45-64,nhw,21,1,2,0,10,0,0,0,2,0,0,0,0,0,6,1,0,0,0,0,1,0
  GA: Walker County (13295),2010-2013,male,65+,nhw,11,0,0,0,8,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
  GA: Walker County (13295),2010-2013,female,0-44,nhw,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Walker County (13295),2010-2013,female,45-64,nhw,3,3,0,0,1,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
  GA: Walker County (13295),2010-2013,female,65+,nhw,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
  GA: Walton County (13297),2000-2004,male,0-44,nhw,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Walton County (13297),2000-2004,male,45-64,nhw,5,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
  GA: Walton County (13297),2000-2004,male,65+,nhw,9,1,0,0,1,0,1,1,0,0,0,0,0,0,2,0,1,0,4,0,0,0
  GA: Walton County (13297),2000-2004,female,0-44,nhw,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Walton County (13297),2000-2004,female,45-64,nhw,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
  GA: Walton County (13297),2000-2004,female,65+,nhw,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Walton County (13297),2005-2009,male,0-44,nhw,8,2,0,0,0,0,0,1,0,0,3,0,1,1,3,0,1,0,0,0,0,0
  GA: Walton County (13297),2005-2009,male,45-64,nhw,22,2,0,0,9,0,0,0,2,0,2,0,1,1,5,1,1,0,1,0,1,0
  GA: Walton County (13297),2005-2009,male,65+,nhw,6,1,0,0,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
  GA: Walton County (13297),2005-2009,female,0-44,nhw,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
  GA: Walton County (13297),2005-2009,female,45-64,nhw,5,1,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
  GA: Walton County (13297),2005-2009,female,65+,nhw,3,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0
  GA: Walton County (13297),2010-2013,male,0-44,nhw,8,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,2,0,1,0
  GA: Walton County (13297),2010-2013,male,45-64,nhw,22,2,0,0,5,1,0,0,0,0,2,0,2,0,6,1,2,0,3,0,2,0
  GA: Walton County (13297),2010-2013,male,65+,nhw,10,2,0,0,5,0,0,1,0,0,1,0,1,0,2,0,1,0,0,0,0,1
  GA: Walton County (13297),2010-2013,female,0-44,nhw,3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
  GA: Walton County (13297),2010-2013,female,45-64,nhw,6,2,0,0,2,0,0,1,0,0,0,0,1,0,1,1,0,0,2,0,0,0
  GA: Walton County (13297),2010-2013,female,65+,nhw,2,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
  GA: Ware County (13299),2000-2004,male,0-44,nhw,3,2,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
  GA: Ware County (13299),2000-2004,male,45-64,nhw,10,3,0,0,2,2,1,1,1,0,1,0,2,0,2,0,1,0,0,0,0,0
  GA: Ware County (13299),2000-2004,male,65+,nhw,5,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
  GA: Ware County (13299),2000-2004,female,0-44,nhw,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
  GA: Ware County (13299),2000-2004,female,45-64,nhw,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Ware County (13299),2000-2004,female,65+,nhw,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
  GA: Ware County (13299),2005-2009,male,0-44,nhw,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
  GA: Ware County (13299),2005-2009,male,45-64,nhw,4,3,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,2,0,0,0
  GA: Ware County (13299),2005-2009,male,65+,nhw,4,2,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0
  GA: Ware County (13299),2005-2009,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Ware County (13299),2005-2009,female,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Ware County (13299),2005-2009,female,65+,nhw,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
  GA: Ware County (13299),2010-2013,male,0-44,nhw,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
  GA: Ware County (13299),2010-2013,male,45-64,nhw,5,1,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
  GA: Ware County (13299),2010-2013,male,65+,nhw,6,1,1,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0
  GA: Ware County (13299),2010-2013,female,0-44,nhw,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Ware County (13299),2010-2013,female,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Ware County (13299),2010-2013,female,65+,nhw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
  GA: Wayne County (13305),2000-2004,male,0-44,nhw,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wayne County (13305),2000-2004,male,45-64,nhw,5,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
  GA: Wayne County (13305),2000-2004,male,65+,nhw,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wayne County (13305),2000-2004,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wayne County (13305),2000-2004,female,45-64,nhw,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
  GA: Wayne County (13305),2000-2004,female,65+,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wayne County (13305),2005-2009,male,0-44,nhw,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wayne County (13305),2005-2009,male,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wayne County (13305),2005-2009,male,65+,nhw,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
  GA: Wayne County (13305),2005-2009,female,0-44,nhw,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wayne County (13305),2005-2009,female,45-64,nhw,4,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
  GA: Wayne County (13305),2005-2009,female,65+,nhw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
  GA: Wayne County (13305),2010-2013,male,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wayne County (13305),2010-2013,male,45-64,nhw,10,0,1,0,1,0,1,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0
  GA: Wayne County (13305),2010-2013,male,65+,nhw,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
  GA: Wayne County (13305),2010-2013,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wayne County (13305),2010-2013,female,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wayne County (13305),2010-2013,female,65+,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Webster County (13307),2000-2004,male,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Webster County (13307),2000-2004,male,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Webster County (13307),2000-2004,male,65+,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Webster County (13307),2000-2004,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Webster County (13307),2000-2004,female,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Webster County (13307),2000-2004,female,65+,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Webster County (13307),2005-2009,male,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Webster County (13307),2005-2009,male,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Webster County (13307),2005-2009,male,65+,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Webster County (13307),2005-2009,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Webster County (13307),2005-2009,female,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Webster County (13307),2005-2009,female,65+,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Webster County (13307),2010-2013,male,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Webster County (13307),2010-2013,male,45-64,nhw,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Webster County (13307),2010-2013,male,65+,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Webster County (13307),2010-2013,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Webster County (13307),2010-2013,female,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Webster County (13307),2010-2013,female,65+,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wheeler County (13309),2000-2004,male,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wheeler County (13309),2000-2004,male,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wheeler County (13309),2000-2004,male,65+,nhw,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
  GA: Wheeler County (13309),2000-2004,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wheeler County (13309),2000-2004,female,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wheeler County (13309),2000-2004,female,65+,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wheeler County (13309),2005-2009,male,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wheeler County (13309),2005-2009,male,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wheeler County (13309),2005-2009,male,65+,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wheeler County (13309),2005-2009,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wheeler County (13309),2005-2009,female,45-64,nhw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
  GA: Wheeler County (13309),2005-2009,female,65+,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wheeler County (13309),2010-2013,male,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wheeler County (13309),2010-2013,male,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wheeler County (13309),2010-2013,male,65+,nhw,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wheeler County (13309),2010-2013,female,0-44,nhw,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wheeler County (13309),2010-2013,female,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Wheeler County (13309),2010-2013,female,65+,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: White County (13311),2000-2004,male,0-44,nhw,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
  GA: White County (13311),2000-2004,male,45-64,nhw,4,2,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0
  GA: White County (13311),2000-2004,male,65+,nhw,5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
  GA: White County (13311),2000-2004,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: White County (13311),2000-2004,female,45-64,nhw,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
  GA: White County (13311),2000-2004,female,65+,nhw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
  GA: White County (13311),2005-2009,male,0-44,nhw,2,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
  GA: White County (13311),2005-2009,male,45-64,nhw,6,1,1,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
  GA: White County (13311),2005-2009,male,65+,nhw,2,3,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
  GA: White County (13311),2005-2009,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: White County (13311),2005-2009,female,45-64,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: White County (13311),2005-2009,female,65+,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: White County (13311),2010-2013,male,0-44,nhw,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
  GA: White County (13311),2010-2013,male,45-64,nhw,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
  GA: White County (13311),2010-2013,male,65+,nhw,5,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
  GA: White County (13311),2010-2013,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: White County (13311),2010-2013,female,45-64,nhw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
  GA: White County (13311),2010-2013,female,65+,nhw,4,2,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
  GA: Whitfield County (13313),2000-2004,male,0-44,nhw,2,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
  GA: Whitfield County (13313),2000-2004,male,45-64,nhw,16,1,3,0,2,0,1,0,2,0,2,0,0,1,1,0,1,0,4,0,0,0
  GA: Whitfield County (13313),2000-2004,male,65+,nhw,16,2,1,0,6,0,1,1,3,0,1,1,0,0,1,0,1,0,1,0,1,0
  GA: Whitfield County (13313),2000-2004,female,0-44,nhw,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
  GA: Whitfield County (13313),2000-2004,female,45-64,nhw,5,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
  GA: Whitfield County (13313),2000-2004,female,65+,nhw,4,4,0,0,0,0,0,1,0,1,3,0,0,0,1,1,0,0,0,0,0,1
  GA: Whitfield County (13313),2005-2009,male,0-44,nhw,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
  GA: Whitfield County (13313),2005-2009,male,45-64,nhw,22,4,0,0,4,0,0,2,1,0,0,0,0,2,11,0,3,0,3,0,0,0
  GA: Whitfield County (13313),2005-2009,male,65+,nhw,8,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
  GA: Whitfield County (13313),2005-2009,female,0-44,nhw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Whitfield County (13313),2005-2009,female,45-64,nhw,6,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
  GA: Whitfield County (13313),2005-2009,female,65+,nhw,12,3,0,0,3,0,0,2,2,0,5,0,0,0,1,1,0,0,1,0,0,0
  GA: Whitfield County (13313),2010-2013,male,0-44,nhw,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  GA: Whitfield County (13313),2010-2013,male,45-64,nhw,8,1,0,0,4,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0
  GA: Whitfield County (13313),2010-2013,male,65+,nhw,11,4,0,0,5,1,0,0,0,0,2,1,0,1,2,0,0,1,2,0,0,0
  GA: Whitfield County (13313),2010-2013,female,0-44,nhw,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
  GA: Whitfield County (13313),2010-2013,female,45-64,nhw,4,1,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
  GA: Whitfield County (13313),2010-2013,female,65+,nhw,5,3,1,0,1,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0
